CourseCode,CourseName,College,Survey1_Median,Survey1_Std,Survey1_Q1,Survey1_Q3,Survey2_Median,Survey2_Std,Survey2_Q1,Survey2_Q3,Survey3_Median,Survey3_Std,Survey3_Q1,Survey3_Q3,Survey4_Median,Survey4_Std,Survey4_Q1,Survey4_Q3,Survey5_Median,Survey5_Std,Survey5_Q1,Survey5_Q3,Survey6_Median,Survey6_Std,Survey6_Q1,Survey6_Q3,Survey7_Median,Survey7_Std,Survey7_Q1,Survey7_Q3
KMB02142,인문데이터의이해,방목기초교육대학,4.0,1.27744594087896,3.0,4.75,4.0,0.9607689228305228,3.25,5.0,4.0,1.2403473458920844,4.0,5.0,3.5,1.2043875831929893,3.0,5.0,4.0,0.9972489631508747,3.25,5.0,5.0,0.8418973861410954,4.0,5.0,4.0,0.8644378215075665,3.25,5.0
KMB02143,아시아역사와문화,방목기초교육대학,3.0,1.0,2.5,3.5,4.0,1.1547005383792517,3.0,4.0,3.0,0.5773502691896258,3.0,3.5,3.0,1.0,2.5,3.5,3.0,0.5773502691896258,3.0,3.5,4.0,0.5773502691896257,3.5,4.0,4.0,1.7320508075688772,2.5,4.0
KMB02147,행복의심리학,방목기초교육대학,3.0,0.6685579234215214,3.0,4.0,3.5,1.0,3.0,4.0,3.5,1.1645001528813148,3.0,4.25,4.0,0.8876253645985945,3.0,4.0,3.5,0.8660254037844386,3.0,4.25,4.0,0.9653072991634227,3.0,4.25,3.5,1.0,3.0,4.0
KMB02156,배려의소통기법,방목기초교육대학,3.0,1.3913653136029502,3.0,5.0,4.0,0.816496580927726,3.0,5.0,4.0,0.8006407690254357,4.0,5.0,3.0,0.9607689228305227,3.0,4.0,4.0,0.816496580927726,3.0,5.0,5.0,0.7762500258061849,4.0,5.0,5.0,0.8697184926229041,4.0,5.0
KMB02157,창의적읽기와소통적쓰기,방목기초교육대학,4.0,0.7071067811865476,3.0,4.0,4.0,0.33333333333333337,4.0,4.0,4.0,0.6009252125773316,4.0,4.0,3.0,0.726483157256779,3.0,4.0,4.0,0.6009252125773318,4.0,4.0,4.0,0.7071067811865475,4.0,5.0,4.0,0.7071067811865477,4.0,4.0
KMB02162,농문화이해와한국수어의실제,방목기초교육대학,3.0,1.2624284099290852,2.0,4.0,4.0,1.006254947619063,3.0,5.0,3.0,1.101870068138174,3.0,4.0,3.0,0.8406346808612327,3.0,4.0,3.0,1.019034529615665,3.0,4.5,4.0,0.953013795344877,3.0,5.0,4.0,0.9917305136803576,3.0,5.0
KMB02163,배려의행복학,방목기초교육대학,3.0,0.9206622874969125,3.0,4.0,4.0,0.7171371656006362,3.0,4.0,4.0,0.7400128699009548,3.0,4.0,3.0,0.8135752957807667,3.0,4.0,4.0,0.6248809410409238,4.0,4.0,4.0,0.749603069567329,4.0,5.0,4.0,0.7003400534570263,3.0,4.0
KMB02165,서양의지혜,방목기초교육대학,3.0,1.0638443052826634,3.0,4.0,4.0,0.9074852129730302,3.0,4.0,4.0,0.8572642304355839,3.0,4.0,4.0,0.8265211763179215,3.0,4.0,3.0,0.8677218312746244,3.0,4.0,4.0,0.8246211251235323,3.0,5.0,4.0,0.8545151130503031,3.0,5.0
KMC02101,문예의이론과실제,방목기초교육대학,4.0,0.8755950357709131,3.0,4.75,4.5,0.5270462766947299,4.0,5.0,5.0,0.8432740427115678,4.0,5.0,4.0,0.7378647873726218,4.0,4.75,4.0,0.6749485577105528,4.0,5.0,5.0,0.5163977794943223,4.0,5.0,5.0,0.5163977794943223,4.0,5.0
KMC02104,문학과사회,방목기초교육대학,4.0,0.9910312089651148,3.75,4.25,4.5,0.7440238091428448,4.0,5.0,4.0,0.7071067811865475,4.0,5.0,4.5,1.1259916264596033,3.75,5.0,4.5,1.0350983390135313,4.0,5.0,4.5,0.7440238091428448,4.0,5.0,5.0,0.7559289460184544,4.0,5.0
